Dependency Pair	Co-Occurences
history@redux	482
redux@redux-thunk	447
history@source-map-support	434
history@redux-thunk	409
rxjs@zone.js	359
bootstrap@jquery	303
redux@source-map-support	224
history@regenerator-runtime	222
core-js@rxjs	217
redux-thunk@source-map-support	211
axios@lodash	206
core-js@zone.js	202
axios@core-js	184
rxjs@tslib	184
axios@moment	177
tslib@zone.js	175
lodash@moment	171
material-ui/core@material-ui/icons	164
fortawesome/fontawesome-svg-core@fortawesome/free-solid-svg-icons	162
jquery@popper.js	161
body-parser@express	160
bootstrap@popper.js	157
lodash@redux	156
history@lodash	152
emotion/styled@mui/material	152
axios@uuid	141
fs-extra@lodash	136
html-webpack-plugin@webpack	132
prop-types@redux	131
history@prop-types	128
font-awesome@redux	128
lodash@uuid	126
axios@redux	126
types/node@typescript	125
history@styled-components	124
history@moment	122
classnames@redux	121
axios@express	120
jquery@moment	120
mui/icons-material@mui/material	118
font-awesome@redux-thunk	118
moment@redux	118
emotion/styled@mui/icons-material	117
font-awesome@source-map-support	116
redux@styled-components	114
html-webpack-plugin@webpack-dev-server	114
devtron@source-map-support	114
axios@jquery	111
html-webpack-plugin@style-loader	110
axios@element-ui	109
devtron@history	109
axios@fs-extra	108
devtron@redux	108
cors@express	106
lodash@redux-thunk	105
classnames@lodash	104
devtron@redux-thunk	102
axios@bootstrap	101
jquery@lodash	101
babel-loader@webpack	99
express@socket.io	95
core-js@lodash	95
history@uuid	94
types/jest@types/node	94
types/jest@typescript	93
moment@uuid	92
moment@redux-thunk	92
prop-types@redux-thunk	91
jquery@request	91
fs-extra@semver	91
redux@redux-logger	91
bootstrap@moment	90
css-loader@style-loader	89
axios@dotenv	89
classnames@redux-thunk	88
html-webpack-plugin@postcss-loader	88
redux@uuid	86
axios@redux-thunk	84
lodash@source-map-support	83
axios@dayjs	81
css-loader@webpack	79
webpack@webpack-dev-server	79
axios@history	78
html-webpack-plugin@url-loader	78
font-awesome@history	78
classnames@prop-types	78
html-webpack-plugin@jest	76
html-webpack-plugin@postcss-flexbugs-fixes	76
lodash@request	76
axios@source-map-support	75
fs-extra@uuid	75
fortawesome/fontawesome-free@source-map-support	74
style-loader@webpack	74
font-awesome@moment	74
html-webpack-plugin@webpack-manifest-plugin	74
concurrently@wait-on	74
