Dependency Pair	Co-Occurences
react@react-dom	2788
react@react-router-dom	1171
react-dom@react-router-dom	1170
vue@vue-router	915
history@react-dom	781
react@react-redux	779
history@react	779
react-dom@react-redux	775
vue@vuex	774
history@react-router-dom	715
react@redux	690
react-dom@redux	686
react-redux@redux	681
vue-router@vuex	680
react-dom@react-scripts	641
react@react-scripts	641
electron-log@electron-updater	584
axios@vue	538
electron-is-dev@react	514
electron-is-dev@react-dom	511
axios@vue-router	504
electron-updater@react	501
history@react-redux	498
electron-updater@react-dom	498
history@redux	482
electron-debug@react-dom	472
electron-debug@react	472
react-redux@react-router-dom	465
electron-log@react	450
react-dom@redux-thunk	450
react@redux-thunk	450
electron-log@react-dom	449
redux@redux-thunk	447
react-redux@redux-thunk	446
axios@vuex	440
history@source-map-support	434
core-js@vue	431
react@react-router	423
react-dom@react-router	423
axios@react	420
axios@react-dom	417
history@redux-thunk	409
react-router-dom@redux	397
history@react-router	397
electron-updater@react-router-dom	391
electron-debug@react-router-dom	388
vue@vue-electron	388
lodash@react	368
lodash@react-dom	362
electron-log@react-router-dom	362
react@styled-components	360
rxjs@zone.js	359
angular/platform-browser@angular/platform-browser-dynamic	358
angular/common@angular/platform-browser	358
angular/common@angular/platform-browser-dynamic	358
angular/common@angular/core	357
angular/core@angular/platform-browser-dynamic	357
testing-library/react@react	357
testing-library/react@react-dom	357
react-dom@styled-components	357
angular/core@angular/platform-browser	357
testing-library/jest-dom@react-dom	355
vue-electron@vue-router	355
testing-library/jest-dom@react	355
angular/core@zone.js	354
angular/platform-browser-dynamic@zone.js	354
angular/common@zone.js	354
angular/platform-browser@zone.js	354
angular/platform-browser@rxjs	352
angular/platform-browser-dynamic@rxjs	352
testing-library/jest-dom@testing-library/react	352
angular/common@rxjs	352
angular/core@rxjs	352
testing-library/user-event@react	351
testing-library/user-event@react-dom	351
testing-library/react@testing-library/user-event	350
testing-library/jest-dom@testing-library/user-event	349
angular/forms@angular/platform-browser-dynamic	348
angular/forms@angular/platform-browser	348
angular/common@angular/forms	348
angular/core@angular/forms	347
angular/compiler@angular/core	345
angular/common@angular/compiler	344
angular/forms@rxjs	344
angular/forms@zone.js	344
angular/compiler@angular/platform-browser-dynamic	344
angular/compiler@angular/platform-browser	344
angular/compiler@zone.js	342
angular/compiler@rxjs	340
react@source-map-support	340
react-dom@source-map-support	339
angular/compiler@angular/forms	336
testing-library/react@react-scripts	335
testing-library/jest-dom@react-scripts	334
electron-debug@electron-updater	334
angular/common@angular/router	333
angular/platform-browser@angular/router	333
electron-store@react	333
angular/platform-browser-dynamic@angular/router	333
testing-library/user-event@react-scripts	332
vue-electron@vuex	332
angular/core@angular/router	332
angular/router@zone.js	330
electron-store@react-dom	329
angular/forms@angular/router	328
angular/router@rxjs	328
electron-debug@electron-log	326
history@react-hot-loader	322
angular/compiler@angular/router	321
electron-is-dev@react-scripts	317
electron-store@electron-updater	314
react-router@react-router-dom	311
electron-squirrel-startup@react	308
core-js@vue-router	308
electron-squirrel-startup@react-dom	308
bootstrap@jquery	303
react-redux@react-router	301
react-router@redux	300
classnames@react	298
classnames@react-dom	293
electron-debug@history	292
axios@vue-electron	288
moment@react	288
react@react-hot-loader	283
react-dom@react-hot-loader	282
moment@react-dom	282
axios@react-router-dom	281
react-router-dom@redux-thunk	281
core-js@vuex	280
prop-types@react	278
prop-types@react-dom	277
angular/animations@angular/forms	269
electron@react	268
electron@react-dom	268
